review,rating,date,bank,source
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia Mobile,Google Play Store
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia Mobile,Google Play Store
Nice,5,2024-12-26,Bank of Abyssinia Mobile,Google Play Store
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia Mobile,Google Play Store
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of Abyssinia Mobile,Google Play Store
Not that much bad,3,2024-12-22,Bank of Abyssinia Mobile,Google Play Store
Fine,5,2024-12-21,Bank of Abyssinia Mobile,Google Play Store
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia Mobile,Google Play Store
Nic ap,5,2024-12-19,Bank of Abyssinia Mobile,Google Play Store
The forest app ever,1,2024-12-19,Bank of Abyssinia Mobile,Google Play Store
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia Mobile,Google Play Store
Bank of abissena,1,2024-12-17,Bank of Abyssinia Mobile,Google Play Store
Good,3,2024-12-16,Bank of Abyssinia Mobile,Google Play Store
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia Mobile,Google Play Store
GOOD,5,2024-12-15,Bank of Abyssinia Mobile,Google Play Store
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia Mobile,Google Play Store
Poorly functioning app,3,2024-12-13,Bank of Abyssinia Mobile,Google Play Store
Very nice,5,2024-12-13,Bank of Abyssinia Mobile,Google Play Store
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia Mobile,Google Play Store
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia Mobile,Google Play Store
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia Mobile,Google Play Store
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia Mobile,Google Play Store
Nice,5,2024-12-07,Bank of Abyssinia Mobile,Google Play Store
